Foundation,HEXColor,SkinTone,Company,ProductURL,Price,Image,VideoTutorial,YoutubeCode,InstagramFilter
PRO FILT'R SOFT MATTE LONGWEAR FOUNDATION:  shade#498,#41302a,darkskin,FENTY BEAUTY,https://bit.ly/2qqLbNP,$35.00 ,https://www.fentybeauty.com/on/demandware.static/-/Sites-itemmaster_FNT/default/dw901bd239/hi-res/FB30006_FB0498_bg.jpg,https://bit.ly/33I3Sei,CIL3Z0wx2uc,
WOKE UP LIKE THIS FLAWLESS BASE FOUNDATION:   shade#245,#574038,darkskin,IL MAKIAGE,https://bit.ly/2T5UVG7,$44.00 ,https://www.ilmakiage.com/media/catalog/product/cache/1/image/538x538/9df78eab33525d08d6e5fb8d27136e95/6/6/66245_new.jpg,https://bit.ly/35I2vOF,s9VYMobwfs0,
#FauxFilter Foundation:  shade#Cocoa 510R,#8b6132,darkskin,HUDA BEAUTY,https://bit.ly/2pxwLeq,$40 ,https://www.shophudabeauty.com/dw/image/v2/BCNC_PRD/on/demandware.static/-/Sites-huda-master-catalog/default/dwa10bd4ac/images/complexion/dewy.jpg,https://bit.ly/31uDqU7,x5F6UNyldb0,
Confidence in a Compact Foundation with SPF 50+:  shade DEEP(RICH-TAN),#a86d4d,darkskin,it COSMETICS,https://bit.ly/2J5wjLo,$32.00 ,https://www.itcosmetics.com/on/demandware.static/-/Sites-itcosmetics-us-Library/default/dwfb773a73/shades/shade-deep.jpg,https://bit.ly/2VTtdPO,VWoIBpwjEI0,
Natural Radiant Longwear Foundation:  shade Iguacu (deep skin w/ neutral undertones,#8d5531,darkskin,NARS,https://bit.ly/2n9Uah0,$49.00 ,https://images.ulta.com/is/image/Ulta/2523146,https://bit.ly/33P5xil,TYDLJPDKRww,
L'Oreal Paris True Match Super-Blendable Foundation: shade Dark Chocolate C12,#614442,darkskin,L'Oreal Paris,https://bit.ly/2P29awZ,$8.58 ,https://i5.walmartimages.com/asr/11e62b3b-28ba-475c-a5e7-835d9342e96d_1.316d8566a1b3002acd49f9136feb7698.jpeg,https://bit.ly/2J6vguJ,bi5REdLs1x0,
ALL NIGHTER Liquid Foundation: shade 12.0 - Deep,#7f463b,darkskin,Urban Decay,https://bit.ly/2MTQUn0,$40.00 ,https://www.urbandecay.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-urbandecay-master-catalog/default/dwda6ed929/ProductImages/Face/AllNighterFoundation/Model_Swatch/3605971199035-urban-decay-all-nighter-foundation-model-swatch-shade-12.0.jpg,https://bit.ly/33Gd5Ug,Nn-1IES1q7M,
NAKED SKIN Weightless Ultra Definition Liquid Makeup:  shade 13.0,#514030,darkskin,Urban Decay,https://bit.ly/33IRYRj,$40.00 ,https://www.urbandecay.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-urbandecay-master-catalog/default/dwe8e3bfe5/ProductImages/Face/NakedSkinLiquid/BeforeAfter/3605971558696-urban-dacay-naked-skin-liquid-foundation-before-and-after-shade-13.jpg,https://bit.ly/2MxZ7hP,fwGAnafM2o4,
ULTRA HD FOUNDATION INVISIBLE COVER FOUNDATION: shade R540 Dark Brown,#6b4d45,darkskin,MakeUp Forever,https://bit.ly/2s2d7X7,$43.00 ,https://www.makeupforever.com/sites/default/files/styles/product__field_product_image_main__full__thumb/public/products/Ultra%20HD%20Foundation/4986_UHDR-ALT-Images_B-A_Y532.jpg,https://bit.ly/31uhxnN,hdPlk_dDgTQ,
Born This Way Undetectable Medium-to-Full Coverage Foundation: shade Hazelnut ,#7b3513,darkskin,Too Faced,https://bit.ly/2LrEGjT,$39.00 ,https://images.ulta.com/is/image/Ulta/2290021_prod_altimg_4,https://bit.ly/31tXplB,_5Epvb2GiKQ&amp=&t=4s,
ALL DAY LUMINOUS WEIGHTLESS FOUNDATION: shade Gobi,#ecc3b0,fairskin,NARS,https://bit.ly/2qlfp4L,$49.00 ,https://www.narscosmetics.com/dw/image/v2/BBSK_PRD/on/demandware.static/-/Sites-itemmaster_NARS/default/dw06803d78/arm-swatch/999NAC0000017.jpg,https://bit.ly/32wOVvh,FW5oL3Bz-lU,
Double Wear Stay-in-Place Makeup:  shade 1N0 Porcelain,#e7bd9b,fairskin,ESTEE LAUDER,https://estee.cm/2CKkKa7,$43.00 ,https://www.esteelauder.com/media/export/cms/products/558x768/el_sku_YA6FCA_558x768_1.jpg,https://bit.ly/2VW9JtK,NarTt2MkUIQ,
SHEER DELIGHT ULTRA MATT FOUNDATION:  shade #03,#dbbe93,fairskin,CHAMBOR,https://bit.ly/2MwuQzC,$20 ,http://www.chambor.com/images/foundation-02-shade-03.jpg,https://bit.ly/33Ht58L,DWQFfbORDic,
STUDIO FIX FLUID SPF 15:  shade #NC20 ,#d69a73,mediumskin,MAC,https://bit.ly/32tLghP,$31.00 ,https://www.maccosmetics.com/media/export/cms/products/640x600/mac_sku_M6JC02_640x600_1.jpg,https://bit.ly/32tj5Q8,Twr0aIExLNU,
Infallible Fresh Wear 24HR Foundation:  shade Sun Beige,#d9a46e,mediumskin,L'Oreal Paris,https://bit.ly/2U2lBbz,$14.99 ,https://i.ytimg.com/vi/4j6p6iPQTGQ/maxresdefault.jpg,https://bit.ly/2OXA89c,4j6p6iPQTGQ,
Illamasqua Skin Base Foundation,#ebe5cd,porcelainskin,Illamasqua ,https://bit.ly/2ygvsU0,$43.00 ,https://s1.thcdn.com/productimg/1600/1600/11264626-7800404381119382.jpg,https://bit.ly/35JYTvn,Abmzd1KhHx4,
SKIN FOUNDATION STICK:  shade Alabaster (C-004 / 00),#f5decc,porcelainskin,Bobbi Brown,https://bbrwn.co/35N27yj,$47.00 ,https://www.bobbibrowncosmetics.com/media/export/cms/products/v2_1080x1080/bb_sku_EA6C17_1080x1080_1.jpg,https://bit.ly/31uMf0b,Y4JPXkAZoNs,
SKIN FOUNDATION STICK:  shade Alabaster GOLDEN NATURAL (W-058 / 4.75),#c68a69,oliveskin,Bobbi Brown,https://bbrwn.co/2J2V3nC,$47.00 ,https://www.bobbibrowncosmetics.com/media/export/cms/products/v2_1080x1080/bb_sku_EA6C25_1080x1080_1.jpg,https://bit.ly/2J3zYtd,w4lXLqmzFvY,
MAGIC FOUNDATION: shade 5,#d89987,oliveskin,CharlotteTilbury,https://bit.ly/2VVU8u7,$44.00 ,https://www.bobbibrowncosmetics.com/media/export/cms/products/v2_1080x1080/bb_sku_EA6C25_1080x1080_1.jpg,https://bit.ly/2J3zYtd,w4lXLqmzFvY,
